Date,Source,State,Latitude,Longitude,PM2.5,PM10,NO2,Ozone,SO2,CO,Humidity,WindSpeed,Temperature,Urban ( miles),Suburban(miles),Rural(miles),Urban(trip),Suburban(trip),Rural(trip)
2023-01-01,AirNow,Alabama,33.5530560008695,-86.815,0.11174826604462297,-0.6582717826261086,-0.45327483887020614,-0.33397906675962746,-0.6914813929712944,-0.974676659985565,0.20737394803985607,-0.21159285134884268,-0.08716078787522351,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-02-01,AirNow,Alabama,33.5530560008695,-86.815,0.3868374159405157,-0.7469034888637399,-1.2075386920055584,-1.901847382550053,-0.6624167280711845,-0.18379800693919532,0.8013996073049995,1.1711026414244838,0.0703428506174199,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-03-01,AirNow,Alabama,33.5530560008695,-86.815,-0.6384948700350846,-1.101430313814265,-1.174744611434456,-1.6778661945799924,-0.7205460578714044,-0.974676659985565,1.310564458103694,2.5537981341978098,0.0309669409942594,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-04-01,AirNow,Alabama,33.5530560008695,-86.815,-0.9636002290029578,-0.7469034888637399,0.9787333460679265,-0.22198847277459696,-0.6333520631710745,1.3979592991535443,-1.320120604356227,1.0846841731261505,-0.45466927769139154,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-05-01,AirNow,Alabama,33.5530560008695,-86.815,-1.1136488562188993,-1.0127986075766338,1.2192232702560097,0.0019927151954640693,-0.5752227333708547,2.188837952199914,-1.150398987423329,0.3933364267394874,-1.1765609541160076,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-06-01,AQS,Alabama,33.5530560008695,-86.815,-0.8385597063230066,-0.481008370150846,0.08236181045779745,-0.8939320366847793,-0.6042873982709646,0.6070806461071747,-0.5563733281581854,-1.5942883441221691,-1.4653176246858541,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-07-01,AQS,Alabama,33.5530560008695,-86.815,0.03672395243665248,0.22804527975020422,-1.3387150142899673,-1.1179132246548402,-0.42989940887030514,1.3979592991535443,-0.047208477359491095,-0.21159285134884268,-1.0715585284542455,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-08-01,AQS,Alabama,33.5530560008695,-86.815,0.5118779386204669,-1.101430313814265,1.0443215072101308,-0.7819414426997487,-0.7496107227715142,-0.974676659985565,1.565146883503041,-0.21159285134884268,-1.0321826188310845,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-09-01,AQS,Alabama,33.5530560008695,-86.815,0.7369508794443793,-0.481008370150846,0.9350079053064565,-0.5579602547296885,-0.28457608436975557,-0.18379800693919532,0.5468171819056523,-1.0757775343321716,-1.4653176246858541,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-10-01,AQS,Alabama,33.5530560008695,-86.815,0.3868374159405157,0.13941357351257294,-0.2127849146821229,-1.6778661945799924,-0.42989940887030514,2.188837952199914,0.29223475650630515,-0.12517438305050968,-1.3471898958163715,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-11-01,AQS,Alabama,33.5530560008695,-86.815,0.4618617295484866,-0.30374495767558346,-0.98891148819821,-1.1179132246548402,-0.6624167280711845,0.6070806461071747,1.310564458103694,0.4797548950378204,-0.7434259482612381,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-01-13,AQS,Alabama,33.5530560008695,-86.815,-0.688511079107065,-1.2786937262895275,1.2192232702560097,-1.1179132246548402,-0.7205460578714044,-1.7655553130319348,0.7165387988385504,3.0723089439878075,-1.872202024125183,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-01-14,AQS,Alabama,33.5530560008695,-86.815,-0.8385597063230066,-1.0127986075766338,0.760106142260578,-0.7819414426997487,-0.6914813929712944,-0.974676659985565,-0.47151251969173635,1.0846841731261505,-2.003455056202386,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-01-16,AQS,Alabama,33.5530560008695,-86.815,-0.088316570243299,-0.30374495767558346,-0.43141211848947136,-1.0059226306698097,-0.6042873982709646,2.188837952199914,-0.5563733281581854,1.6031949829161483,-1.1371850444928469,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-01-17,AQS,Alabama,33.5530560008695,-86.815,-0.18834898838725989,-0.481008370150846,0.39937125597845297,-0.7819414426997487,-0.5170934035706349,2.188837952199914,1.2257036496372449,0.047662553546155874,-0.19216321353698593,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-01-18,AQS,Alabama,33.5530560008695,-86.815,-0.1633408838512697,-0.7469034888637399,-0.4204807582991038,0.0019927151954640693,-0.5752227333708547,2.188837952199914,1.395425266570143,2.121705792706145,-0.23153912316014644,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-01-19,AQS,Alabama,33.5530560008695,-86.815,-0.33839761560320153,0.13941357351257294,-0.9342546872463728,-1.3418944126249013,-0.6914813929712944,-0.974676659985565,-0.8109557535575326,2.5537981341978098,-0.5859223097685945,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
2023-01-20,AQS,Alabama,33.5530560008695,-86.815,-0.7385272881790456,-1.3673254325271589,-1.3387150142899673,-0.8939320366847793,-0.6914813929712944,-0.974676659985565,-0.47151251969173635,0.13408102184448883,-1.4653176246858541,31.75,45.2184,52.9793,4.73359,5.5705,5.52623
